iter	Passed	Remaining
0	147	147084
1	149	74497
2	151	50354
3	155	38774
4	159	31671
5	160	26628
6	162	22984
7	163	20289
8	165	18198
9	166	16496
10	167	15093
11	169	13931
12	171	12998
13	172	12163
14	174	11438
15	175	10790
16	181	10492
17	182	9972
18	184	9502
19	185	9081
20	187	8737
21	190	8464
22	194	8252
23	196	7976
24	198	7731
25	199	7481
26	202	7280
27	204	7096
28	206	6897
29	208	6739
30	209	6553
31	210	6375
32	211	6211
33	213	6070
34	214	5919
35	217	5818
36	218	5696
37	220	5576
38	221	5468
39	222	5351
40	224	5239
41	225	5132
42	226	5036
43	227	4939
44	228	4846
45	230	4777
46	232	4709
47	233	4635
48	235	4565
49	236	4488
50	237	4414
51	238	4344
52	239	4280
53	241	4224
54	242	4165
55	245	4135
56	246	4086
57	248	4040
58	249	3984
59	250	3930
60	251	3876
61	252	3825
62	253	3777
63	255	3729
64	256	3682
65	257	3641
66	259	3611
67	260	3576
68	262	3546
69	263	3506
70	264	3466
71	265	3427
72	267	3392
73	268	3356
74	269	3320
75	270	3285
76	271	3254
77	273	3233
78	274	3205
79	276	3180
80	277	3150
81	278	3120
82	279	3085
83	280	3057
84	281	3033
85	283	3008
86	284	2982
87	285	2961
88	289	2959
89	290	2937
90	291	2916
91	293	2892
92	294	2869
93	295	2846
94	296	2823
95	297	2800
96	298	2778
97	299	2757
98	301	2747
99	303	2731
100	305	2714
101	306	2694
102	307	2675
103	308	2655
104	309	2636
105	310	2617
106	311	2598
107	312	2580
108	313	2562
109	316	2561
110	317	2545
111	319	2532
112	320	2515
113	321	2498
114	322	2482
115	323	2466
116	324	2448
117	325	2433
118	326	2417
119	327	2402
120	329	2395
121	331	2383
122	332	2374
123	334	2361
124	335	2347
125	336	2332
126	337	2317
127	338	2304
128	339	2290
129	340	2276
130	341	2267
131	343	2261
132	345	2250
133	346	2241
134	348	2230
135	349	2218
136	350	2205
137	351	2193
138	352	2181
139	353	2169
140	354	2158
141	355	2145
142	358	2145
143	359	2137
144	361	2129
145	362	2119
146	363	2108
147	364	2097
148	365	2087
149	366	2076
150	367	2066
151	368	2056
152	370	2048
153	372	2044
154	373	2035
155	375	2030
156	376	2020
157	377	2010
158	378	2001
159	379	1991
160	380	1980
161	381	1971
